Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-01-13,38.36,39.44,38.36,38.86,54242
2019-01-20,38.78,39.69,38.54,39.57,72611
2019-01-27,39.51,40.27,39.1,39.91,87168
2019-02-03,39.92,39.92,39.23,39.82,52693
2019-02-10,39.87,40.28,39.16,39.16,14137
2019-02-17,39.41,39.64,38.59,38.89,51374
2019-02-24,39.05,39.53,38.6,39.18,26862
2019-03-03,39.58,39.58,38.79,38.8,23270
2019-03-10,39.15,39.33,38.15,38.23,7590
2019-03-17,38.45,39.3,38.25,39.02,25862
2019-03-24,39.21,39.36,38.57,38.57,27034
2019-03-31,39.72,39.76,38.44,38.44,18895
2019-04-07,38.92,40.15,38.91,39.09,21272
2019-04-14,39.33,40.17,39.19,39.34,5135
2019-04-21,39.45,39.76,39.2,39.32,3843
2019-04-28,39.6,39.6,39.1,39.43,3879
2019-05-05,39.49,39.49,38.58,38.58,16944
2019-05-12,38.26,38.35,36.24,36.45,26284
2019-05-19,36.52,36.58,35.94,36.31,40004
2019-05-26,36.48,37.03,36.09,36.38,7426
2019-06-02,36.48,37.36,36.11,37.36,16899
2019-06-09,37.33,38.2,37.09,38.05,10190
2019-06-16,38.38,38.55,37.85,38.14,8246
2019-06-23,38.81,39.12,37.98,38.52,13886
2019-06-30,38.83,39.19,38.42,38.83,8054
2019-07-07,39.2,39.46,38.64,39.1,29851
2019-07-14,38.94,39.26,38.73,38.86,2757
2019-07-21,39.13,39.62,38.62,39.52,20460
2019-07-28,39.5,39.58,38.9,38.9,6552
2019-08-04,38.85,38.92,37.58,37.58,52595
2019-08-11,37.45,37.49,36.03,36.07,27273
2019-08-18,36.37,36.83,35.25,35.27,29175
2019-08-25,35.8,36.43,35.67,35.95,16176
2019-09-01,35.7,36.52,35.07,36.5,27966
2019-09-08,36.65,36.75,35.8,36.28,52116
2019-09-15,36.38,37.87,36.38,37.66,18735
2019-09-22,37.63,37.95,37.1,37.17,18725
2019-09-29,37.19,37.63,36.74,37.41,26574
2019-10-06,37.51,37.51,35.65,36.28,34518
2019-10-13,36.45,37.14,36.21,37.12,7116
2019-10-20,38,38,36.75,37.03,12621
2019-10-27,37.17,37.94,37.17,37.29,24793
2019-11-03,37.42,38.22,37.35,37.51,26329
2019-11-10,37.5,39.07,37.5,38.56,55323
2019-11-17,38.68,38.85,38.05,38.18,68650
2019-11-24,38.52,38.52,37.22,37.57,41097
2019-12-01,37.72,37.8,36.9,36.9,10838
2019-12-08,37.15,37.15,35.2,35.41,47364
2019-12-15,35.5,36.32,34.85,35.98,39838
2019-12-22,36.08,36.59,36.08,36.34,20622
2019-12-29,36.43,37.06,36.3,36.75,22596
2020-01-05,36.87,37.63,36.68,37.07,20421
2020-01-12,37.18,37.2,36.09,36.95,27295
2020-01-19,37.16,37.49,36.77,37.13,25963
2020-01-26,37.24,37.27,36.54,36.74,20374
2020-02-02,36.41,36.47,35.05,35.17,26581
2020-02-09,35.08,36.62,34.87,35.94,33479
2020-02-16,36.18,36.44,35.67,36.12,13726
2020-02-23,36.22,36.27,35.55,35.55,22293
2020-03-01,35.07,35.07,29.75,32.5,107751
2020-03-08,31.35,32.34,29.93,30.07,134527
2020-03-15,28.31,29,22.5,23.27,248781
2020-03-22,22.3,26.42,21.22,25.35,312216
2020-03-29,23.68,25.7,23.43,25.13,123725
2020-04-05,25.21,25.99,24.6,25.6,135285
2020-04-12,26.22,28.14,26.22,28,131608
2020-04-19,28.11,28.45,27.05,27.7,89238
2020-04-26,27.73,27.95,26.5,27.3,95873
2020-05-03,27.72,28.7,27,28.06,90721
2020-05-10,27.54,27.6,26.6,27.35,82811
2020-05-17,27.6,27.8,26.55,26.98,46482
2020-05-24,27.38,28.29,27.16,27.75,30699
2020-05-31,27.83,30,27.83,29.4,106086
2020-06-07,29.67,31.4,29.3,31.32,86519
2020-06-14,31.2,31.5,29.97,30.43,93151
2020-06-21,30,30.8,29.51,30.78,78426
2020-06-28,30.62,31.43,29.56,29.56,36175
2020-07-05,29.97,30.76,29.61,30.64,17877
2020-07-12,30.99,31.25,30.09,31.25,19337
2020-07-19,30.91,30.91,30.1,30.58,15178
2020-07-26,30.48,32.09,30.48,30.79,51146
2020-08-02,30.89,31.42,30.04,30.25,25712
2020-08-09,30.31,31.4,30.15,30.99,22566
2020-08-16,30.99,32.03,30.96,31.55,32592
2020-08-23,31.66,31.7,30.835,30.97,15936
2020-08-30,31.21,31.53,30.99,31.15,52831
2020-09-06,31.37,31.37,29.65,29.88,40502
2020-09-13,30.06,30.4,29.25,30.11,18139
2020-09-20,30.26,30.48,29.29,29.5,10343
2020-09-27,29.62,29.64,28.21,28.49,51939
2020-10-04,28.9,29.53,28.54,28.95,15438
2020-10-11,29.16,29.8,27.9,28.91,22294
2020-10-18,28.9,29.1,27.77,28.23,56606
2020-10-25,28.47,28.59,27.8,28.01,15011
2020-11-01,27.99,28.01,25.55,26,29805
2020-11-08,26.17,29,26.16,28.8,73446
2020-11-15,29.1,30.5,28.91,29.82,55704
2020-11-22,30.27,31,30.16,31,40771
2020-11-29,31.23,31.95,31.03,31.58,120013
2020-12-06,31.35,33.24,30.96,33.15,40501
2020-12-13,33.15,34.5,32.79,33.65,81883
2020-12-20,33.24,34.32,32.6,33.36,50479
2020-12-27,32.93,33.34,31.55,33.34,43722
2021-01-03,33.73,34.64,33.63,33.76,37942
2021-01-10,34.15,35.68,33.89,35.26,50222
2021-01-17,35.33,35.74,33.48,33.78,78269
2021-01-24,33.77,34.8,32.88,33.21,60468
2021-01-31,33.39,33.94,32,33.13,75451
2021-02-07,33.4,33.7,32.72,33.29,59341
2021-02-14,33.6,33.6,32.5,33,39568
2021-02-21,33.04,34.34,33.04,33.73,47464
2021-02-28,33.7,33.7,32.14,32.44,50151
2021-03-07,32.69,33.76,32.56,32.96,30709
2021-03-14,33.22,34.27,33.07,34.08,65503
2021-03-21,34.25,34.5,32.55,32.81,182243
2021-03-28,32.78,33.1,31.77,32.67,72996
2021-04-04,32.8,33.4,32.77,33.23,23419
2021-04-11,33.59,34.18,33.4,33.555,86730
2021-04-18,33.46,34.44,33.38,34.15,46506
2021-04-25,34.28,34.65,33.41,33.57,67861
2021-05-02,33.79,35.3,33.7,34.61,69533
2021-05-09,34.64,35.64,33.92,35.58,73889
2021-05-16,36.08,36.29,34.82,35.78,115710
2021-05-23,36.1,36.52,35.67,36.27,94964
2021-05-30,36.19,37.93,35.99,37.92,90226
2021-06-06,37.98,38.5,37.83,38.18,72576
2021-06-13,38.45,38.56,37.51,37.79,70425
2021-06-20,38.02,38.53,37.39,37.71,47827
2021-06-27,37.53,38.95,37.14,38.78,68161
2021-07-04,38.7,38.99,37.7,38.3,27963
2021-07-11,38.49,38.96,38,38.29,30574
2021-07-18,38.34,38.77,38.26,38.47,50067
2021-07-25,38.37,38.58,37.15,38.38,166571
2021-08-01,38.38,38.76,37.92,38.48,43137
2021-08-08,38.75,38.985,38.49,38.9,22298
2021-08-15,38.9,39.41,38.71,39.33,29492
2021-08-22,39.16,39.32,38.29,38.67,32030
2021-08-29,38.75,39.76,38.75,39.74,37085
2021-09-05,39.8,40.9,38.83,40.64,182727
2021-09-12,40.71,41.24,40.1,40.4,64105
2021-09-19,40.63,41.11,40.14,40.2,30916
2021-09-26,39.68,40.69,39.02,39.8,58721
2021-10-03,39.93,40.36,39.2,40.17,19621
2021-10-10,40.11,41.73,39.95,41.66,40369
2021-10-17,41.62,42.82,41.62,42.34,34161
2021-10-24,42.43,42.81,41.63,41.75,20208
2021-10-31,41.78,42.26,41.2,41.3,20130
2021-11-07,41.5,42.21,40.99,42.12,27468
2021-11-14,42.35,42.35,40.67,40.775,37670
2021-11-21,40.94,41.22,38.3,38.99,59727
2021-11-28,39.1,39.9,36.9,37.01,111280
2021-12-05,37.34,38.55,36.6,38.38,81321
2021-12-12,37.89,39,37.6,38.19,61552
2021-12-19,38.5,38.65,37.2,37.86,25433
2021-12-26,37.14,38.445,36.98,38.355,28463
2022-01-02,38.44,39.1,38.095,39.09,33634
2022-01-09,39.265,39.88,39.265,39.88,32297
2022-01-16,39.8,41.83,39.465,41.1,90141
2022-01-23,41.06,41.09,38.875,39.2,70636
2022-01-30,39.01,39.23,37.12,37.62,154561
2022-02-06,38.085,39,37.525,37.525,73668
2022-02-13,37.87,38.5,37.06,37.94,42691
2022-02-20,36.96,38.74,36.47,37,83469
2022-02-27,37.47,37.47,30.65,33.93,338741
2022-03-06,36,36,32.8,33.07,145345
2022-03-13,32.78,35.205,32.04,34.99,144465
2022-03-20,34.75,36.73,33.55,36,95179
2022-03-27,36.55,37,35.845,36.385,49355
2022-04-03,36.715,37.55,36.3,37.2,53861
2022-04-10,37.37,37.56,35.71,35.75,49352
2022-04-17,35.865,36.49,35.545,36,17912
2022-04-24,36.17,36.17,34,34.4,41776
2022-05-01,33.455,33.975,31.835,32.2,115112
2022-05-08,31.765,32.045,29.595,30.37,141645
2022-05-15,30.325,30.5,28.43,30.5,167188
2022-05-22,30.695,31.415,30.055,30.8,187448
2022-05-29,31.31,31.705,30.775,31.2,62929
2022-06-05,31.6,32.43,31.22,31.285,66355
2022-06-12,31.55,31.82,29.65,29.71,77487
2022-06-19,29.295,29.7,28.765,29.7,99694
2022-06-26,29.255,29.625,28.52,28.945,132702
2022-07-03,29.325,30.09,29.06,29.09,56278
2022-07-10,29.205,30.1,28.18,30.05,95536
2022-07-17,29.515,29.8,27.65,28.145,119582
2022-07-24,28.5,29.67,28.435,29.5,58462
2022-07-31,29.45,30,28.5,30,44843
2022-08-07,30,30.28,28.95,29.1,105760
2022-08-14,29.32,30.55,29.085,30.5,57617
2022-08-21,30.58,31,29.37,29.675,95035
2022-08-28,29.36,29.395,28.1,28.2,98700
2022-09-04,27.64,28.05,25.8,26.47,199297
2022-09-11,26.23,26.98,25.2,26.98,169063
2022-09-18,27.16,27.535,26.25,26.8,100949
2022-09-25,26.5,27.275,25.64,25.67,81674
2022-10-02,25.255,25.97,24.255,24.5,173906
2022-10-09,24.495,25.725,23.85,24.9,127475
2022-10-16,24.88,24.955,23.74,24.745,162421
2022-10-23,24.905,25.5,24.585,24.74,94676
2022-10-30,25.4,26.88,24.985,26.72,69253
2022-11-06,26.835,28.57,26,28.35,195055
2022-11-13,28.66,29.95,28.41,29.9,140670
2022-11-20,30.395,31.55,29.9,30.22,315192
2022-11-27,30.255,31.2,29.795,31.04,74709
2022-12-04,30.875,31.25,30.41,30.7,54073
2022-12-11,30.955,31.28,30.32,30.6,69521
2022-12-18,30.52,31.85,30.375,30.8,84801
2022-12-25,30.83,31.78,30.545,31.535,61200
2023-01-01,31.615,31.89,31.11,31.675,49147
2023-01-08,31.835,33.395,31.6,32.87,87974
2023-01-15,33.395,34.6,33.23,34.03,135677
2023-01-22,34.13,34.345,33.055,33.47,106896
2023-01-29,33.59,34.44,33.205,33.85,62846
2023-02-05,33.615,33.94,33.08,33.71,46544
2023-02-12,33.615,33.825,32.46,32.68,79987
2023-02-19,32.81,33.3,31,32.895,48009
2023-02-26,32.925,32.925,31.565,31.93,48796
2023-03-05,32,33.015,31.945,32.53,40798
2023-03-12,32.755,33.3,31.59,31.805,52978
2023-03-19,31.845,31.975,29.51,29.64,202765
2023-03-26,29.07,30.63,28.77,29.5,114782
2023-04-02,29.95,31.32,29.5,31.05,58825
2023-04-09,31.305,31.73,30.9,30.97,52549
2023-04-16,31.31,32.9,31.085,32.785,98245
2023-04-23,32.9,33.99,32.765,33.54,122703
2023-04-30,33.455,34.455,32.96,33.955,84799
2023-05-07,34.125,34.445,33.21,33.685,42553
2023-05-14,33.71,34.5,33.575,34.285,49328
2023-05-21,34.58,35.11,34.045,35.1,79188
2023-05-28,35.1,35.75,34.185,34.98,68900
2023-06-04,35.035,35.58,33.3,35.58,104166
2023-06-11,35.545,36.325,35.425,36.16,76701
2023-06-18,36.1,37.57,35.63,37.1,80929
2023-06-25,37.1,37.395,35.835,35.9,49793
2023-07-02,36.03,36.65,35.7,36.375,55250
2023-07-09,36.5,36.82,35.225,36.15,51554
2023-07-16,36.055,38,34.3,37.76,86305
2023-07-23,37.72,38.66,37.61,38.26,49122
2023-07-30,38.31,38.905,38.24,38.87,50841
2023-08-06,38.97,39.08,37.61,38.49,83039
2023-08-13,38.38,38.48,37.405,37.82,62200
2023-08-20,37.615,37.81,35.5,36.2,99651
2023-08-27,36.4,36.675,35.81,36,48482
2023-09-03,36.34,37.015,36.06,36.895,46867
2023-09-10,37.1,37.145,34.645,35.22,72036
2023-09-17,35.345,36.03,35.05,35.78,33125
2023-09-24,35.865,35.9,34.9,35.435,36546
2023-10-01,35.385,35.475,33.92,34.765,42211
2023-10-08,34.625,34.72,33.445,33.92,48167
2023-10-15,33.8,35.99,33.62,35.825,149926
2023-10-22,37.08,38.95,36.555,36.74,230310
2023-10-29,36.825,38.595,36.555,38.11,103387
2023-11-05,38.175,39.575,38.175,39.42,85023
2023-11-12,39.665,39.9,38.6,38.76,65959
2023-11-19,38.945,41,38.64,40.36,108829
2023-11-26,40.48,41.04,40.13,40.35,73516
2023-12-03,40.34,41.395,39.77,41.36,88233
2023-12-10,41.395,42.08,41,41.73,90318
2023-12-17,42,42.85,41.315,41.93,94730
2023-12-24,41.93,43.07,41.92,42.455,92958
2023-12-31,42.51,43,42.19,42.38,231362
2024-01-07,42.41,42.555,40.5,41.25,130461
2024-01-14,41.145,41.74,40.56,40.77,92618
2024-01-21,40.82,41.025,39.2,39.9,75092
2024-01-28,40.13,40.505,39.49,40.47,38484
2024-02-04,40.505,43.06,40.2,42.86,101182
2024-02-11,43.185,43.315,41.915,42.025,96030
2024-02-18,42.12,43.525,41.635,43.21,67217
2024-02-25,43.2,45.4,43.035,45,186095
2024-03-03,45.265,45.31,43.79,44.02,95086
2024-03-10,44.25,44.46,42.005,42.77,75798
2024-03-17,42.745,44.335,42.1,42.85,172582
2024-03-24,42.86,43.96,41.75,43.295,74699
2024-03-31,43.275,44.375,42.525,44.35,47650
2024-04-07,44.55,44.98,44,44.91,48934
2024-04-14,45.005,45.975,44.405,44.405,80296
2024-04-21,44.645,44.965,43.33,44.81,81715
2024-04-28,45.005,46.28,44.84,45.66,62459
2024-05-05,45.725,46.205,45.3,45.585,14920
2024-05-12,45.855,47.475,45.595,46.47,61230
2024-05-19,46.58,47.75,46.46,47.675,34861
2024-05-26,47.61,48.17,46.6,46.85,95225
2024-06-02,46.9,47.265,45.48,46.215,35868
2024-06-09,46.63,46.885,44.815,45.09,45198
2024-06-16,44.875,45.43,44.2,44.655,42529
2024-06-23,44.7,46.67,44.7,46.205,34098
2024-06-30,46.24,47.8,46.24,47.53,43473
2024-07-07,47.75,47.82,46.675,46.805,23860
2024-07-14,46.805,47.745,46.72,47.64,55621
2024-07-21,47.585,47.7,45.045,46.02,76300
2024-07-28,45.99,46.37,44.16,44.57,68685
2024-08-04,44.97,45.245,43.165,43.435,62322
2024-08-11,41.345,42.85,40.995,42.255,250145
2024-08-18,42.555,45.205,42.555,45.205,50411
2024-08-25,45.215,45.555,44.54,45.02,51214
2024-09-01,45,45.33,44.28,45.105,31002
2024-09-08,45.105,46.18,43.39,43.42,47760
2024-09-15,43.41,43.85,42.3,43.72,29699
2024-09-22,43.675,44.4,43.115,43.445,26648
2024-09-29,43.445,45.385,43.065,45.355,24659
2024-10-06,45.25,45.3,43.21,43.57,42778
2024-10-13,43.8,44.585,42.97,44.43,24105
2024-10-20,44.43,44.755,43.97,44.715,40583
